,full_name,player_id,year,player_age,league,rank,vote_points,1st_place,mvp_share,Total_WAR,WAR_bat,WAR_pit,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg
155,Kevin Youkilis,425903.0,2009,30,AL,6.0,150.0,0.0,0.38,6.55,6.55,0.0,491,588,150,86,36,1,27,125,77,21.3,13.1,0.305,0.548,0.413,0.961
158,Troy Tulowitzki,453064.0,2009,25,NL,5.0,172.0,0.0,0.38,6.53,6.53,0.0,543,628,161,95,25,9,32,112,73,17.8,11.6,0.297,0.552,0.377,0.93
169,Javier Vazquez,134320.0,2009,33,NL,0.0,0.0,0.0,0.0,6.42,0.25,6.17,68,91,12,9,3,0,0,14,3,15.4,3.3,0.176,0.221,0.165,0.385
185,Prince Fielder,425902.0,2009,25,NL,4.0,203.0,0.0,0.45,6.31,6.31,0.0,591,719,177,93,35,3,46,138,110,19.2,15.3,0.299,0.602,0.412,1.014
188,Matt Cain,430912.0,2009,25,NL,0.0,0.0,0.0,0.0,6.3,0.17,6.13,60,73,9,6,2,1,0,31,4,42.5,5.5,0.15,0.217,0.178,0.395
197,Ryan Braun,460075.0,2009,26,NL,11.0,43.0,0.0,0.1,6.19,6.19,0.0,635,708,203,126,39,6,32,121,57,17.1,8.1,0.32,0.551,0.386,0.937
200,Jason Bartlett,430583.0,2009,30,AL,0.0,0.0,0.0,0.0,6.16,6.16,0.0,500,567,160,110,29,7,14,89,54,15.7,9.5,0.32,0.49,0.386,0.876
217,Ian Kinsler,435079.0,2009,27,AL,26.0,1.0,0.0,0.0,5.99,5.99,0.0,566,640,143,76,32,4,31,77,59,12.0,9.2,0.253,0.488,0.325,0.813
229,Ubaldo Jimenez,434622.0,2009,25,NL,0.0,0.0,0.0,0.0,5.9,0.37,5.53,59,77,13,13,0,0,0,15,6,19.5,7.8,0.22,0.22,0.247,0.467
244,Aaron Hill,431094.0,2009,27,AL,12.0,23.0,0.0,0.06,5.8,5.8,0.0,682,734,195,122,37,0,36,98,42,13.4,5.7,0.286,0.499,0.33,0.828
273,Dustin Pedroia,456030.0,2009,26,AL,0.0,0.0,0.0,0.0,5.64,5.64,0.0,626,714,185,121,48,1,15,45,74,6.3,10.4,0.296,0.447,0.37,0.817
297,Shin-Soo Choo,425783.0,2009,27,AL,0.0,0.0,0.0,0.0,5.51,5.51,0.0,583,685,175,111,38,6,20,151,78,22.0,11.4,0.3,0.489,0.394,0.883
321,Derrek Lee,117601.0,2009,34,NL,9.0,66.0,0.0,0.15,5.43,5.43,0.0,532,615,163,90,36,2,35,109,76,17.7,12.4,0.306,0.579,0.393,0.972
331,Marco Scutaro,340192.0,2009,34,AL,0.0,0.0,0.0,0.0,5.36,5.36,0.0,574,680,162,114,35,1,12,75,90,11.0,13.2,0.282,0.409,0.376,0.786
350,Mark Teixeira,407893.0,2009,29,AL,2.0,225.0,0.0,0.57,5.27,5.27,0.0,609,707,178,93,43,3,39,114,81,16.1,11.5,0.292,0.565,0.383,0.948
355,Torii Hunter,116338.0,2009,34,AL,0.0,0.0,0.0,0.0,5.25,5.25,0.0,451,506,135,86,26,1,22,92,47,18.2,9.3,0.299,0.508,0.366,0.873
363,Jason Bay,424726.0,2009,31,AL,7.0,78.0,0.0,0.2,5.23,5.23,0.0,531,638,142,74,29,3,36,162,94,25.4,14.7,0.267,0.537,0.384,0.921
389,Miguel Cabrera,408234.0,2009,26,AL,4.0,171.0,1.0,0.44,5.09,5.09,0.0,611,685,198,130,34,0,34,107,68,15.6,9.9,0.324,0.547,0.396,0.942
411,Carl Crawford,408307.0,2009,28,AL,0.0,0.0,0.0,0.0,5.02,5.02,0.0,606,672,185,134,28,8,15,99,51,14.7,7.6,0.305,0.452,0.363,0.815
421,Michael Bourn,456422.0,2009,27,NL,0.0,0.0,0.0,0.0,4.97,4.97,0.0,606,678,173,131,27,12,3,140,63,20.6,9.3,0.285,0.384,0.351,0.736
449,Matt Kemp,461314.0,2009,25,NL,10.0,49.0,0.0,0.11,4.86,4.86,0.0,606,667,180,122,25,7,26,139,52,20.8,7.8,0.297,0.49,0.352,0.842
469,Joey Votto,458015.0,2009,26,NL,22.0,4.0,0.0,0.01,4.81,4.81,0.0,469,544,151,87,38,1,25,106,70,19.5,12.9,0.322,0.567,0.414,0.981
488,Ichiro Suzuki,400085.0,2009,36,AL,9.0,33.0,0.0,0.08,4.71,4.71,0.0,639,678,225,179,31,4,11,71,32,10.5,4.7,0.352,0.465,0.385,0.85
510,Casey Blake,232694.0,2009,36,NL,0.0,0.0,0.0,0.0,4.63,4.63,0.0,485,565,136,87,25,6,18,116,63,20.5,11.2,0.28,0.468,0.363,0.831
516,Ted Lilly,150404.0,2009,33,NL,0.0,0.0,0.0,0.0,4.61,-0.37,4.98,57,64,5,3,1,1,0,27,2,42.2,3.1,0.088,0.14,0.109,0.25
517,Clayton Kershaw,477132.0,2009,21,NL,0.0,0.0,0.0,0.0,4.61,-0.08,4.69,48,59,5,5,0,0,0,16,3,27.1,5.1,0.104,0.104,0.136,0.24
544,Jayson Werth,150029.0,2009,30,NL,17.0,10.0,0.0,0.02,4.5,4.5,0.0,571,676,153,90,26,1,36,156,91,23.1,13.5,0.268,0.506,0.373,0.879
552,Robinson Cano,429664.0,2009,27,AL,17.0,12.0,0.0,0.03,4.49,4.49,0.0,637,674,204,129,48,2,25,63,30,9.3,4.5,0.32,0.52,0.352,0.871
560,Wandy Rodriguez,434643.0,2009,30,NL,0.0,0.0,0.0,0.0,4.470000000000001,-0.22,4.69,63,70,8,5,3,0,0,19,1,27.1,1.4,0.127,0.175,0.129,0.303
567,Brendan Ryan,453895.0,2009,27,NL,0.0,0.0,0.0,0.0,4.46,4.46,0.0,390,429,114,85,19,7,3,56,24,13.1,5.6,0.292,0.4,0.336,0.736
587,J.D. Drew,136770.0,2009,34,AL,0.0,0.0,0.0,0.0,4.4,4.4,0.0,452,539,126,68,30,4,24,109,82,20.2,15.2,0.279,0.522,0.391,0.914
603,Curtis Granderson,434158.0,2009,28,AL,0.0,0.0,0.0,0.0,4.35,4.35,0.0,631,710,157,96,23,8,30,141,72,19.9,10.1,0.249,0.453,0.325,0.779
608,Kendrys Morales,434778.0,2009,26,AL,5.0,170.0,0.0,0.43,4.34,4.34,0.0,566,622,173,94,43,2,34,117,46,18.8,7.4,0.306,0.569,0.355,0.924
613,Pablo Sandoval,467055.0,2009,23,NL,7.0,89.0,0.0,0.2,4.33,4.33,0.0,572,633,189,115,44,5,25,83,52,13.1,8.2,0.33,0.556,0.387,0.943
621,Randy Wells,448694.0,2009,27,NL,0.0,0.0,0.0,0.0,4.29,0.13,4.16,47,61,9,6,3,0,0,7,2,11.5,3.3,0.191,0.255,0.18,0.436
623,Cliff Lee,424324.0,2009,31,AL,0.0,0.0,0.0,0.0,4.28,-0.02,4.3,38,41,7,5,2,0,0,14,1,34.1,2.4,0.184,0.237,0.195,0.432
626,Yunel Escobar,488862.0,2009,27,NL,20.0,6.0,0.0,0.01,4.26,4.26,0.0,528,604,158,116,26,2,14,62,57,10.3,9.4,0.299,0.436,0.373,0.808
634,Asdrubal Cabrera,452678.0,2009,24,AL,0.0,0.0,0.0,0.0,4.23,4.23,0.0,523,581,161,109,42,4,6,89,44,15.3,7.6,0.308,0.438,0.355,0.792
638,Randy Wolf,150116.0,2009,33,NL,0.0,0.0,0.0,0.0,4.22,0.33,3.89,68,81,11,6,4,0,1,22,2,27.2,2.5,0.162,0.265,0.173,0.438
649,Johnny Damon,113028.0,2009,36,AL,0.0,0.0,0.0,0.0,4.18,4.18,0.0,550,626,155,92,36,3,24,98,71,15.7,11.3,0.282,0.489,0.364,0.853
669,Alex Rodriguez,121347.0,2009,34,AL,10.0,31.0,0.0,0.08,4.15,4.15,0.0,444,535,127,79,17,1,30,97,80,18.1,15.0,0.286,0.532,0.402,0.933
688,Orlando Hudson,407861.0,2009,32,NL,0.0,0.0,0.0,0.0,4.11,4.11,0.0,551,631,156,106,35,6,9,99,62,15.7,9.8,0.283,0.417,0.352,0.769
735,Justin Upton,457708.0,2009,22,NL,25.0,2.0,0.0,0.0,4.0,4.0,0.0,526,588,158,95,30,7,26,137,55,23.3,9.4,0.3,0.532,0.366,0.898
748,Angel Pagan,434636.0,2009,28,NL,0.0,0.0,0.0,0.0,3.97,3.97,0.0,343,376,105,66,22,11,6,56,25,14.9,6.6,0.306,0.487,0.346,0.833
754,Hunter Pence,452254.0,2009,26,NL,0.0,0.0,0.0,0.0,3.95,3.95,0.0,585,647,165,109,26,5,25,109,58,16.8,9.0,0.282,0.472,0.346,0.818
759,J.A. Happ,457918.0,2009,27,NL,0.0,0.0,0.0,0.0,3.9400000000000004,-0.29,4.23,43,51,4,3,1,0,0,15,1,29.4,2.0,0.093,0.116,0.098,0.214
765,Adam Lind,452252.0,2009,26,AL,15.0,14.0,0.0,0.04,3.94,3.94,0.0,587,654,179,98,46,0,35,110,58,16.8,8.9,0.305,0.562,0.37,0.932
771,Scott Rolen,121409.0,2009,34,AL,0.0,0.0,0.0,0.0,3.92,3.92,0.0,475,535,145,97,36,1,11,62,45,11.6,8.4,0.305,0.455,0.368,0.823
824,Denard Span,452655.0,2009,25,AL,0.0,0.0,0.0,0.0,3.82,3.82,0.0,578,676,180,146,16,10,8,89,70,13.2,10.4,0.311,0.415,0.385,0.8
829,Juan Rivera,407487.0,2009,31,AL,0.0,0.0,0.0,0.0,3.81,3.81,0.0,529,572,152,102,24,1,25,57,36,10.0,6.3,0.287,0.478,0.332,0.81
836,Ryan Howard,429667.0,2009,30,NL,3.0,217.0,0.0,0.48,3.79,3.79,0.0,616,703,172,86,37,4,45,186,75,26.5,10.7,0.279,0.571,0.36,0.931
866,Shane Victorino,425664.0,2009,29,NL,18.0,8.0,0.0,0.02,3.73,3.73,0.0,620,694,181,119,39,13,10,71,60,10.2,8.6,0.292,0.445,0.356,0.801
890,Maicer Izturis,430895.0,2009,29,AL,0.0,0.0,0.0,0.0,3.68,3.68,0.0,387,437,116,83,22,3,8,41,35,9.4,8.0,0.3,0.434,0.357,0.791
892,Johan Santana,276371.0,2009,30,NL,0.0,0.0,0.0,0.0,3.6799999999999997,0.36,3.32,42,57,7,4,3,0,0,14,5,24.6,8.8,0.167,0.238,0.211,0.449
922,Carlos Zambrano,407296.0,2009,28,NL,0.0,0.0,0.0,0.0,3.6,0.58,3.02,69,72,15,6,5,0,4,28,1,38.9,1.4,0.217,0.464,0.222,0.686
935,Carlos Beltran,136860.0,2009,32,NL,0.0,0.0,0.0,0.0,3.58,3.58,0.0,308,357,100,67,22,1,10,43,47,12.0,13.2,0.325,0.5,0.415,0.915
940,Elvis Andrus,462101.0,2009,21,AL,0.0,0.0,0.0,0.0,3.57,3.57,0.0,480,541,128,97,17,8,6,77,40,14.2,7.4,0.267,0.373,0.322,0.695
975,Tommy Hanson,462102.0,2009,23,NL,0.0,0.0,0.0,0.0,3.5100000000000002,-0.36,3.87,37,46,2,2,0,0,0,20,1,43.5,2.2,0.054,0.054,0.065,0.119
986,Juan Uribe,346874.0,2009,30,NL,0.0,0.0,0.0,0.0,3.5,3.5,0.0,398,432,115,69,26,4,16,82,25,19.0,5.8,0.289,0.495,0.326,0.821
989,Lance Berkman,204020.0,2009,33,NL,0.0,0.0,0.0,0.0,3.49,3.49,0.0,460,563,126,69,31,1,25,98,97,17.4,17.2,0.274,0.509,0.398,0.907
998,Jason Marquis,150302.0,2009,31,NL,0.0,0.0,0.0,0.0,3.48,0.02,3.46,64,75,11,8,3,0,0,14,2,18.7,2.7,0.172,0.219,0.173,0.392
1003,Justin Morneau,408047.0,2009,28,AL,0.0,0.0,0.0,0.0,3.48,3.48,0.0,508,590,139,77,31,1,30,86,72,14.6,12.2,0.274,0.516,0.363,0.878
1015,Jason Kubel,430585.0,2009,27,AL,24.0,3.0,0.0,0.01,3.45,3.45,0.0,514,578,154,89,35,2,28,106,56,18.3,9.7,0.3,0.539,0.369,0.907
1020,Erick Aybar,430947.0,2009,25,AL,0.0,0.0,0.0,0.0,3.44,3.44,0.0,504,556,157,120,23,9,5,54,30,9.7,5.4,0.312,0.423,0.345,0.768
1035,Rafael Furcal,279577.0,2009,32,NL,0.0,0.0,0.0,0.0,3.42,3.42,0.0,613,680,165,123,28,5,9,89,61,13.1,9.0,0.269,0.375,0.334,0.709
1038,John Lannan,458709.0,2009,25,NL,0.0,0.0,0.0,0.0,3.42,0.05,3.37,58,65,9,8,1,0,0,21,2,32.3,3.1,0.155,0.172,0.169,0.342
1039,Kurt Suzuki,435559.0,2009,26,AL,0.0,0.0,0.0,0.0,3.42,3.42,0.0,570,614,156,103,37,1,15,59,28,9.6,4.6,0.274,0.421,0.313,0.734
1070,Ryan Dempster,133225.0,2009,32,NL,0.0,0.0,0.0,0.0,3.3600000000000003,-0.09,3.45,64,75,8,7,1,0,0,20,4,26.7,5.3,0.125,0.141,0.16,0.301
1110,Todd Helton,115732.0,2009,36,NL,13.0,28.0,0.0,0.06,3.3,3.3,0.0,544,645,177,121,38,3,15,73,89,11.3,13.8,0.325,0.489,0.416,0.904
1113,Adrian Beltre,134181.0,2009,30,AL,0.0,0.0,0.0,0.0,3.29,3.29,0.0,449,477,119,84,27,0,8,74,19,15.5,4.0,0.265,0.379,0.304,0.683
1118,Mark Reynolds,448602.0,2009,26,NL,20.0,6.0,0.0,0.01,3.28,3.28,0.0,578,662,150,75,30,1,44,223,76,33.7,11.5,0.26,0.543,0.349,0.892
1132,Rajai Davis,434658.0,2009,29,AL,0.0,0.0,0.0,0.0,3.25,3.25,0.0,390,432,119,84,27,5,3,70,29,16.2,6.7,0.305,0.423,0.359,0.782
1135,Miguel Montero,471083.0,2009,26,NL,0.0,0.0,0.0,0.0,3.25,3.25,0.0,425,470,125,79,30,0,16,78,38,16.6,8.1,0.294,0.478,0.353,0.831
1136,Garrett Jones,434540.0,2009,28,NL,0.0,0.0,0.0,0.0,3.25,3.25,0.0,314,358,92,49,21,1,21,76,40,21.2,11.2,0.293,0.567,0.372,0.938
1176,David Wright,431151.0,2009,27,NL,0.0,0.0,0.0,0.0,3.17,3.17,0.0,535,618,164,112,39,3,10,140,74,22.7,12.0,0.307,0.447,0.39,0.837
1177,Brian McCann,435263.0,2009,25,NL,0.0,0.0,0.0,0.0,3.17,3.17,0.0,488,551,137,80,35,1,21,83,49,15.1,8.9,0.281,0.486,0.347,0.832
1183,Jack Wilson,333292.0,2009,32,NL,0.0,0.0,0.0,0.0,3.16,3.16,0.0,373,402,95,66,23,1,5,48,21,11.9,5.2,0.255,0.362,0.289,0.65
1184,Bobby Abreu,110029.0,2009,35,AL,12.0,23.0,0.0,0.06,3.16,3.16,0.0,563,667,165,118,29,3,15,113,94,16.9,14.1,0.293,0.435,0.39,0.825
1190,Yadier Molina,425877.0,2009,27,NL,23.0,3.0,0.0,0.01,3.14,3.14,0.0,481,544,141,111,23,1,6,39,50,7.2,9.2,0.293,0.383,0.362,0.745
1193,Carlos Pena,150289.0,2009,31,AL,0.0,0.0,0.0,0.0,3.14,3.14,0.0,471,570,107,41,25,2,39,163,87,28.6,15.3,0.227,0.537,0.356,0.893
1194,Aaron Cook,346871.0,2009,30,NL,0.0,0.0,0.0,0.0,3.14,0.25,2.89,44,58,5,4,1,0,0,14,7,24.1,12.1,0.114,0.136,0.224,0.361
1227,Howie Kendrick,435062.0,2009,26,AL,0.0,0.0,0.0,0.0,3.08,3.08,0.0,374,400,109,75,21,3,10,71,20,17.8,5.0,0.291,0.444,0.333,0.776
1250,Mike Cameron,111904.0,2009,36,NL,0.0,0.0,0.0,0.0,3.04,3.04,0.0,544,628,136,77,32,3,24,156,75,24.8,11.9,0.25,0.452,0.342,0.795
1266,Andre Ethier,444843.0,2009,27,NL,6.0,113.0,0.0,0.25,3.03,3.03,0.0,596,685,162,86,42,3,31,116,72,16.9,10.5,0.272,0.508,0.361,0.869
1276,Yovani Gallardo,451596.0,2009,23,NL,0.0,0.0,0.0,0.0,3.01,0.26,2.75,58,66,10,6,2,0,2,23,2,34.8,3.0,0.172,0.31,0.182,0.492
1300,Ryan Sweeney,435220.0,2009,24,AL,0.0,0.0,0.0,0.0,2.98,2.98,0.0,484,534,142,102,31,3,6,67,40,12.5,7.5,0.293,0.407,0.346,0.753
1304,Martin Prado,445988.0,2009,26,NL,0.0,0.0,0.0,0.0,2.97,2.97,0.0,450,503,138,89,38,0,11,59,36,11.7,7.2,0.307,0.464,0.35,0.814
1313,Mike Napoli,435063.0,2009,28,AL,0.0,0.0,0.0,0.0,2.96,2.96,0.0,382,432,104,61,22,1,20,103,40,23.8,9.3,0.272,0.492,0.35,0.842
1317,Matt Holliday,407812.0,2009,29,AL,16.0,15.0,0.0,0.03,2.96,2.96,0.0,581,670,182,116,39,3,24,101,72,15.1,10.7,0.313,0.515,0.394,0.909
1319,Stephen Drew,452220.0,2009,26,NL,0.0,0.0,0.0,0.0,2.95,2.95,0.0,533,595,139,86,29,12,12,87,49,14.6,8.2,0.261,0.428,0.318,0.745
1323,Brian Roberts,406878.0,2009,32,AL,0.0,0.0,0.0,0.0,2.95,2.95,0.0,632,717,179,106,56,1,16,112,74,15.6,10.3,0.283,0.451,0.356,0.807
1325,Tony Gwynn,448242.0,2009,27,NL,0.0,0.0,0.0,0.0,2.94,2.94,0.0,393,451,106,87,11,6,2,65,48,14.4,10.6,0.27,0.344,0.346,0.689
1332,Jose Bautista,430832.0,2009,29,AL,0.0,0.0,0.0,0.0,2.94,2.94,0.0,336,404,79,50,13,3,13,85,56,21.0,13.9,0.235,0.408,0.344,0.752
1337,Nick Markakis,455976.0,2009,26,AL,0.0,0.0,0.0,0.0,2.92,2.92,0.0,642,711,188,123,45,2,18,98,56,13.8,7.9,0.293,0.453,0.347,0.801
1361,Raul Ibanez,116380.0,2009,37,NL,0.0,0.0,0.0,0.0,2.9,2.9,0.0,500,565,136,67,32,3,34,119,56,21.1,9.9,0.272,0.552,0.347,0.899
1386,Lyle Overbay,407489.0,2009,32,AL,0.0,0.0,0.0,0.0,2.86,2.86,0.0,423,500,112,60,35,1,16,95,74,19.0,14.8,0.265,0.466,0.372,0.838
1413,Brandon Inge,276346.0,2009,32,AL,0.0,0.0,0.0,0.0,2.83,2.83,0.0,562,637,129,85,16,1,27,170,54,26.7,8.5,0.23,0.406,0.314,0.72
1432,Michael Young,276545.0,2009,33,AL,16.0,13.0,0.0,0.03,2.8,2.8,0.0,541,593,174,114,36,2,22,90,47,15.2,7.9,0.322,0.518,0.374,0.892
1441,Brandon Phillips,408252.0,2009,28,NL,0.0,0.0,0.0,0.0,2.79,2.79,0.0,584,644,161,106,30,5,20,75,44,11.6,6.8,0.276,0.447,0.328,0.775
1464,Michael Cuddyer,150212.0,2009,30,AL,21.0,4.0,0.0,0.01,2.77,2.77,0.0,588,650,162,89,34,7,32,118,54,18.2,8.3,0.276,0.52,0.342,0.862
1467,Jacoby Ellsbury,453056.0,2009,26,AL,0.0,0.0,0.0,0.0,2.76,2.76,0.0,624,693,188,143,27,10,8,74,49,10.7,7.1,0.301,0.415,0.351,0.766
1508,Hideki Matsui,425686.0,2009,35,AL,0.0,0.0,0.0,0.0,2.7,2.7,0.0,456,528,125,75,21,1,28,75,64,14.2,12.1,0.274,0.509,0.366,0.874
1546,Carlos Ruiz,434563.0,2009,30,NL,0.0,0.0,0.0,0.0,2.65,2.65,0.0,322,379,82,46,26,1,9,39,47,10.3,12.4,0.255,0.425,0.351,0.776
1555,Nolan Reimold,460099.0,2009,26,AL,0.0,0.0,0.0,0.0,2.64,2.64,0.0,358,411,100,65,18,2,15,77,47,18.7,11.4,0.279,0.466,0.365,0.831
1572,Adam Jones,430945.0,2009,24,AL,0.0,0.0,0.0,0.0,2.62,2.62,0.0,473,519,131,87,22,3,19,93,36,17.9,6.9,0.277,0.457,0.335,0.792
1609,Joel Pineiro,334492.0,2009,31,NL,0.0,0.0,0.0,0.0,2.5700000000000003,0.1,2.47,66,79,9,7,2,0,0,33,4,41.8,5.1,0.136,0.167,0.165,0.331
1611,Russell Branyan,137140.0,2009,34,AL,0.0,0.0,0.0,0.0,2.57,2.57,0.0,431,505,108,55,21,1,31,149,58,29.5,11.5,0.251,0.52,0.347,0.866
1647,Joe Blanton,430599.0,2009,29,NL,0.0,0.0,0.0,0.0,2.52,-0.06,2.58,55,69,7,7,0,0,0,21,4,30.4,5.8,0.127,0.127,0.174,0.301
1661,Craig Counsell,112736.0,2009,39,NL,0.0,0.0,0.0,0.0,2.51,2.51,0.0,404,459,115,81,22,8,4,54,42,11.8,9.2,0.285,0.408,0.355,0.764
1663,Josh Willingham,425545.0,2009,30,NL,0.0,0.0,0.0,0.0,2.51,2.51,0.0,427,502,111,58,29,0,24,104,61,20.7,12.2,0.26,0.496,0.367,0.863
1674,Zach Duke,435043.0,2009,26,NL,0.0,0.0,0.0,0.0,2.5,0.51,1.99,60,79,12,10,2,0,0,18,4,22.8,5.1,0.2,0.233,0.203,0.436
1702,Alberto Callaspo,430948.0,2009,26,AL,0.0,0.0,0.0,0.0,2.46,2.46,0.0,576,634,173,113,41,8,11,51,52,8.0,8.2,0.3,0.457,0.356,0.813
1721,Placido Polanco,135784.0,2009,34,AL,25.0,2.0,0.0,0.01,2.45,2.45,0.0,618,676,176,131,31,4,10,46,36,6.8,5.3,0.285,0.396,0.327,0.723
1744,Barry Zito,217096.0,2009,31,NL,0.0,0.0,0.0,0.0,2.4299999999999997,-0.08,2.51,51,67,6,6,0,0,0,16,4,23.9,6.0,0.118,0.118,0.149,0.267
1762,Russell Martin,431145.0,2009,26,NL,0.0,0.0,0.0,0.0,2.4,2.4,0.0,505,588,126,100,19,0,7,80,69,13.6,11.7,0.25,0.329,0.35,0.679
1766,Roy Oswalt,400061.0,2009,32,NL,0.0,0.0,0.0,0.0,2.4,0.02,2.38,49,66,6,6,0,0,0,8,2,12.1,3.0,0.122,0.122,0.136,0.259
1767,Cody Ross,425496.0,2009,29,NL,0.0,0.0,0.0,0.0,2.4,2.36,0.04,559,604,151,89,37,1,24,122,34,20.2,5.6,0.27,0.469,0.321,0.79
1777,Alexei Ramirez,493351.0,2009,28,AL,0.0,0.0,0.0,0.0,2.39,2.39,0.0,542,606,150,120,14,1,15,66,49,10.9,8.1,0.277,0.389,0.33,0.719
1785,Doug Davis,150277.0,2009,34,NL,0.0,0.0,0.0,0.0,2.37,-0.04,2.41,63,69,10,8,1,1,0,21,0,30.4,0.0,0.159,0.206,0.145,0.351
1796,Andy LaRoche,451188.0,2009,26,NL,0.0,0.0,0.0,0.0,2.36,2.36,0.0,524,590,135,89,29,5,12,84,50,14.2,8.5,0.258,0.401,0.327,0.728
1824,Andrew McCutchen,457705.0,2009,23,NL,0.0,0.0,0.0,0.0,2.34,2.34,0.0,433,493,124,77,26,9,12,83,54,16.8,11.0,0.286,0.471,0.365,0.836
1837,Jorge De La Rosa,407822.0,2009,28,NL,0.0,0.0,0.0,0.0,2.33,-0.3,2.63,57,63,7,5,2,0,0,30,1,47.6,1.6,0.123,0.158,0.127,0.285
1842,Seth Smith,452234.0,2009,27,NL,0.0,0.0,0.0,0.0,2.33,2.33,0.0,335,387,98,59,20,4,15,67,46,17.3,11.9,0.293,0.51,0.377,0.888
1845,Chipper Jones,116706.0,2009,37,NL,0.0,0.0,0.0,0.0,2.32,2.32,0.0,488,596,129,86,23,2,18,89,101,14.9,16.9,0.264,0.43,0.388,0.818
1849,Joe Crede,150317.0,2009,31,AL,0.0,0.0,0.0,0.0,2.32,2.32,0.0,333,367,75,43,16,1,15,56,29,15.3,7.9,0.225,0.414,0.289,0.703
1875,Billy Butler,456714.0,2009,23,AL,0.0,0.0,0.0,0.0,2.29,2.29,0.0,608,672,183,110,51,1,21,103,58,15.3,8.6,0.301,0.492,0.362,0.853
1879,Nelson Cruz,443558.0,2009,29,AL,0.0,0.0,0.0,0.0,2.29,2.29,0.0,462,515,120,65,21,1,33,118,49,22.9,9.5,0.26,0.524,0.332,0.856
1883,Ryan Raburn,430605.0,2009,28,AL,0.0,0.0,0.0,0.0,2.28,2.28,0.0,261,291,76,47,11,2,16,60,26,20.6,8.9,0.291,0.533,0.357,0.89
