,full_name,player_id,year,player_age,league,rank,vote_points,1st_place,mvp_share,Total_WAR,WAR_bat,WAR_pit,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg
6,Albert Pujols,405395.0,2009,29,NL,1.0,448.0,32.0,1.0,9.73,9.73,0.0,568,700,186,93,45,1,47,64,115,9.1,16.4,0.327,0.658,0.443,1.101
20,Ben Zobrist,450314.0,2009,28,AL,8.0,34.0,0.0,0.09,8.61,8.61,0.0,501,599,149,87,28,7,27,104,91,17.4,15.2,0.297,0.543,0.404,0.947
31,Chase Utley,400284.0,2009,31,NL,8.0,84.0,0.0,0.19,8.23,8.23,0.0,571,687,161,98,28,4,31,110,88,16.0,12.8,0.282,0.508,0.397,0.905
47,Joe Mauer,408045.0,2009,26,AL,1.0,387.0,27.0,0.99,7.83,7.83,0.0,523,606,191,132,30,1,28,63,76,10.4,12.5,0.365,0.587,0.444,1.031
54,Chone Figgins,408210.0,2009,31,AL,10.0,31.0,0.0,0.08,7.68,7.68,0.0,615,729,183,141,30,7,5,114,101,15.6,13.9,0.298,0.393,0.391,0.784
66,Tim Lincecum,453311.0,2009,25,NL,18.0,8.0,0.0,0.02,7.44,0.07,7.37,66,86,10,9,1,0,0,36,6,41.9,7.0,0.152,0.167,0.186,0.353
70,Josh Johnson,435178.0,2009,25,NL,0.0,0.0,0.0,0.0,7.3500000000000005,0.7,6.65,62,77,12,8,1,0,3,33,6,42.9,7.8,0.194,0.355,0.234,0.589
74,Hanley Ramirez,434670.0,2009,26,NL,2.0,233.0,0.0,0.52,7.34,7.34,0.0,576,652,197,130,42,1,24,101,61,15.5,9.4,0.342,0.543,0.41,0.953
75,Ryan Zimmerman,475582.0,2009,25,NL,25.0,2.0,0.0,0.0,7.34,7.34,0.0,610,694,178,105,37,3,33,119,72,17.1,10.4,0.292,0.525,0.363,0.888
99,Evan Longoria,446334.0,2009,24,AL,19.0,9.0,0.0,0.02,7.04,7.04,0.0,584,671,164,87,44,0,33,140,72,20.9,10.7,0.281,0.526,0.364,0.889
100,Dan Haren,429717.0,2009,29,NL,0.0,0.0,0.0,0.0,7.02,0.51,6.51,73,87,18,12,5,0,1,22,3,25.3,3.4,0.247,0.356,0.241,0.598
114,Adrian Gonzalez,408236.0,2009,27,NL,12.0,30.0,0.0,0.07,6.93,6.93,0.0,552,681,153,84,27,2,40,109,119,16.0,17.5,0.277,0.551,0.407,0.957
129,Chris Carpenter,112020.0,2009,34,NL,14.0,25.0,0.0,0.06,6.760000000000001,0.28,6.48,63,69,11,7,3,0,1,13,2,18.8,2.9,0.175,0.27,0.203,0.473
137,Jair Jurrjens,457453.0,2009,23,NL,0.0,0.0,0.0,0.0,6.69,0.16,6.53,65,80,8,6,2,0,0,24,8,30.0,10.0,0.123,0.154,0.2,0.354
141,Adam Wainwright,425794.0,2009,28,NL,15.0,16.0,0.0,0.04,6.65,0.4,6.25,89,96,16,8,5,1,2,26,1,27.1,1.0,0.18,0.326,0.177,0.503
150,Franklin Gutierrez,429711.0,2009,26,AL,0.0,0.0,0.0,0.0,6.58,6.58,0.0,565,629,160,117,24,1,18,122,46,19.4,7.3,0.283,0.425,0.332,0.757
154,Derek Jeter,116539.0,2009,35,AL,3.0,193.0,0.0,0.49,6.55,6.55,0.0,634,716,212,166,27,1,18,90,72,12.6,10.1,0.334,0.465,0.404,0.869
