,full_name,player_id,year,player_age,league,rank,vote_points,1st_place,mvp_share,Total_WAR,WAR_bat,WAR_pit,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg
209,Brandon Crawford,543063.0,2021,34,NL,4.0,213.0,4.0,0.50714,6.07,6.07,0.0,483,549,144,87,30,3,24,105,56,19.1,10.2,0.298,0.522,0.373,0.895
214,Aaron Judge,592450.0,2021,29,AL,4.0,171.0,0.0,0.407142857,6.04,6.04,0.0,550,633,158,95,24,0,39,158,75,25.0,11.8,0.287,0.544,0.373,0.916
220,Bryan Reynolds,668804.0,2021,26,NL,11.0,33.0,0.0,0.07857,5.96,5.96,0.0,559,646,169,102,35,8,24,119,75,18.4,11.6,0.302,0.522,0.39,0.912
225,Wade Miley,489119.0,2021,35,NL,0.0,0.0,0.0,0.0,5.93,0.29,5.64,54,59,10,7,3,0,0,13,3,22.0,5.1,0.185,0.241,0.22,0.461
231,Bo Bichette,666182.0,2021,23,AL,12.0,7.0,0.0,0.016666667,5.88,5.88,0.0,640,690,191,131,30,1,29,137,40,19.9,5.8,0.298,0.484,0.343,0.828
235,Bryce Harper,547180.0,2021,29,NL,1.0,348.0,17.0,0.82857,5.86,5.86,0.0,488,599,151,73,42,1,35,134,100,22.4,16.7,0.309,0.615,0.427,1.042
240,Ranger Suarez,624133.0,2021,26,NL,0.0,0.0,0.0,0.0,5.83,0.21,5.62,16,23,3,1,2,0,0,5,1,21.7,4.3,0.188,0.313,0.217,0.53
245,Matt Olson,621566.0,2021,27,AL,8.0,90.0,0.0,0.214285714,5.8,5.8,0.0,565,673,153,79,35,0,39,113,88,16.8,13.1,0.271,0.54,0.371,0.911
261,Kyle Tucker,663656.0,2021,24,AL,20.0,1.0,0.0,0.002380952,5.71,5.71,0.0,506,567,149,79,37,3,30,90,53,15.9,9.3,0.294,0.557,0.358,0.915
263,Brandon Woodruff,605540.0,2021,28,NL,0.0,0.0,0.0,0.0,5.7,0.01,5.69,52,58,6,6,0,0,0,28,3,48.3,5.2,0.115,0.115,0.155,0.271
264,Corbin Burnes,669203.0,2021,27,NL,15.0,9.0,0.0,0.02143,5.7,0.08,5.62,52,59,8,8,0,0,0,26,3,44.1,5.1,0.154,0.154,0.186,0.34
266,Cedric Mullins,656775.0,2021,27,AL,9.0,87.0,0.0,0.207142857,5.69,5.69,0.0,602,675,175,103,37,5,30,125,59,18.5,8.7,0.291,0.518,0.359,0.877
327,Max Fried,608331.0,2021,27,NL,0.0,0.0,0.0,0.0,5.38,0.66,4.72,55,67,15,12,3,0,0,18,4,26.9,6.0,0.273,0.327,0.284,0.611
328,Kevin Gausman,592332.0,2021,30,NL,21.0,1.0,0.0,0.00238,5.38,0.18,5.2,54,62,10,10,0,0,0,31,2,50.0,3.2,0.185,0.185,0.194,0.379
345,Salvador Perez,521692.0,2021,31,AL,7.0,103.0,0.0,0.245238095,5.29,5.29,0.0,620,665,169,97,24,0,48,170,28,25.6,4.2,0.273,0.544,0.316,0.859
404,Manny Machado,592518.0,2021,29,NL,18.0,7.0,0.0,0.01667,5.04,5.04,0.0,564,640,157,96,31,2,28,102,63,15.9,9.8,0.278,0.489,0.347,0.836
414,Jacob deGrom,594798.0,2021,33,NL,0.0,0.0,0.0,0.0,5.0,0.62,4.38,33,33,12,11,1,0,0,9,0,27.3,0.0,0.364,0.394,0.364,0.758
427,Max Muncy,571970.0,2021,31,NL,10.0,38.0,0.0,0.09048,4.93,4.93,0.0,497,592,124,60,26,2,36,120,83,20.3,14.0,0.249,0.527,0.368,0.895
429,Jorge Polanco,593871.0,2021,28,AL,0.0,0.0,0.0,0.0,4.92,4.92,0.0,588,644,158,88,35,2,33,118,45,18.3,7.0,0.269,0.503,0.323,0.826
442,Xander Bogaerts,593428.0,2021,29,AL,12.0,7.0,0.0,0.016666667,4.88,4.88,0.0,529,603,156,98,34,1,23,113,62,18.7,10.3,0.295,0.493,0.37,0.863
444,Tyler Mahle,641816.0,2021,27,NL,0.0,0.0,0.0,0.0,4.87,-0.36,5.23,55,66,3,3,0,0,0,19,4,28.8,6.1,0.055,0.055,0.106,0.161
445,Enrique Hernandez,571771.0,2021,30,AL,0.0,0.0,0.0,0.0,4.87,4.87,0.0,508,585,127,69,35,3,20,110,61,18.8,10.4,0.25,0.449,0.337,0.786
455,Jake Cronenworth,630105.0,2021,27,NL,0.0,0.0,0.0,0.0,4.84,4.8,0.04,567,643,151,90,33,7,21,90,55,14.0,8.6,0.266,0.46,0.336,0.796
474,Tim Anderson,641313.0,2021,28,AL,0.0,0.0,0.0,0.0,4.79,4.79,0.0,527,551,163,115,29,2,17,119,22,21.6,4.0,0.309,0.469,0.338,0.806
477,Luis Castillo,622491.0,2021,29,NL,0.0,0.0,0.0,0.0,4.760000000000001,0.07,4.69,49,59,8,6,2,0,0,23,1,39.0,1.7,0.163,0.204,0.153,0.357
494,Julio Urias,628711.0,2021,25,NL,0.0,0.0,0.0,0.0,4.7,0.32,4.38,59,70,12,10,2,0,0,22,0,31.4,0.0,0.203,0.237,0.186,0.423
497,Brandon Lowe,664040.0,2021,27,AL,10.0,34.0,0.0,0.080952381,4.68,4.68,0.0,535,615,132,62,31,0,39,167,68,27.2,11.1,0.247,0.523,0.34,0.863
505,Freddie Freeman,518692.0,2021,32,NL,9.0,43.0,0.0,0.10238,4.65,4.65,0.0,600,695,180,122,25,2,31,107,85,15.4,12.2,0.3,0.503,0.393,0.896
533,Byron Buxton,621439.0,2021,28,AL,0.0,0.0,0.0,0.0,4.54,4.54,0.0,235,254,72,30,23,0,19,62,13,24.4,5.1,0.306,0.647,0.358,1.005
572,Jose Altuve,514888.0,2021,31,AL,18.0,3.0,0.0,0.007142857,4.43,4.43,0.0,601,678,167,103,32,1,31,91,66,13.4,9.7,0.278,0.489,0.35,0.839
612,Ty France,664034.0,2021,27,AL,0.0,0.0,0.0,0.0,4.34,4.34,0.0,571,650,166,115,32,1,18,106,46,16.3,7.1,0.291,0.445,0.368,0.813
629,Nicky Lopez,670032.0,2021,26,AL,0.0,0.0,0.0,0.0,4.26,4.26,0.0,497,565,149,120,21,6,2,74,49,13.1,8.7,0.3,0.378,0.358,0.736
641,Trevor Story,596115.0,2021,29,NL,0.0,0.0,0.0,0.0,4.21,4.21,0.0,526,595,132,69,34,5,24,139,53,23.4,8.9,0.251,0.471,0.329,0.801
643,Joey Gallo,608336.0,2021,28,AL,0.0,0.0,0.0,0.0,4.2,4.2,0.0,498,616,99,47,13,1,38,213,111,34.6,18.0,0.199,0.458,0.351,0.808
663,Pete Alonso,624413.0,2021,27,NL,0.0,0.0,0.0,0.0,4.16,4.16,0.0,561,637,147,80,27,3,37,127,60,19.9,9.4,0.262,0.519,0.344,0.863
664,Mookie Betts,605141.0,2021,29,NL,0.0,0.0,0.0,0.0,4.15,4.15,0.0,466,550,123,68,29,3,23,86,68,15.6,12.4,0.264,0.487,0.367,0.854
679,Nolan Arenado,571448.0,2021,30,NL,0.0,0.0,0.0,0.0,4.14,4.14,0.0,593,653,151,80,34,3,34,96,50,14.7,7.7,0.255,0.494,0.312,0.807
704,Randy Arozarena,668227.0,2021,26,AL,0.0,0.0,0.0,0.0,4.09,4.09,0.0,529,604,145,90,32,3,20,170,56,28.1,9.3,0.274,0.459,0.356,0.815
714,Willson Contreras,575929.0,2021,29,NL,0.0,0.0,0.0,0.0,4.06,4.06,0.0,413,483,98,57,20,0,21,138,52,28.6,10.8,0.237,0.438,0.34,0.778
719,Charlie Morton,450203.0,2021,38,NL,0.0,0.0,0.0,0.0,4.04,-0.17,4.21,55,62,7,6,1,0,0,31,0,50.0,0.0,0.127,0.145,0.113,0.258
722,Yoan Moncada,660162.0,2021,26,AL,0.0,0.0,0.0,0.0,4.04,4.04,0.0,520,616,137,89,33,1,14,157,84,25.5,13.6,0.263,0.412,0.375,0.787
737,Trea Turner,607208.0,2021,28,NL,5.0,185.0,1.0,0.44048,4.0,4.0,0.0,595,646,195,130,34,3,28,110,41,17.0,6.3,0.328,0.536,0.375,0.911
747,Ryan McMahon,641857.0,2021,27,NL,0.0,0.0,0.0,0.0,3.97,3.97,0.0,528,596,134,78,32,1,23,147,59,24.7,9.9,0.254,0.449,0.331,0.779
774,Anthony DeSclafani,543101.0,2021,31,NL,0.0,0.0,0.0,0.0,3.92,-0.2,4.12,51,62,2,1,1,0,0,33,4,53.2,6.5,0.039,0.059,0.097,0.156
775,Logan Webb,657277.0,2021,25,NL,0.0,0.0,0.0,0.0,3.91,0.22,3.69,46,53,6,2,2,1,1,21,2,39.6,3.8,0.13,0.283,0.151,0.434
785,Harrison Bader,664056.0,2021,27,NL,0.0,0.0,0.0,0.0,3.89,3.89,0.0,367,401,98,60,21,1,16,85,27,21.2,6.7,0.267,0.46,0.324,0.785
794,Jonathan India,663697.0,2021,25,NL,0.0,0.0,0.0,0.0,3.88,3.88,0.0,532,631,143,86,34,2,21,141,71,22.3,11.3,0.269,0.459,0.376,0.834
802,Teoscar Hernandez,606192.0,2021,29,AL,19.0,2.0,0.0,0.004761905,3.87,3.87,0.0,550,595,163,102,29,0,32,148,36,24.9,6.1,0.296,0.524,0.346,0.87
817,Sandy Alcantara,645261.0,2021,26,NL,0.0,0.0,0.0,0.0,3.83,-0.25,4.08,58,64,2,1,1,0,0,45,3,70.3,4.7,0.034,0.052,0.094,0.145
832,Jeimer Candelario,600869.0,2021,28,AL,0.0,0.0,0.0,0.0,3.8,3.8,0.0,557,626,151,90,42,3,16,135,65,21.6,10.4,0.271,0.443,0.351,0.795
834,Adolis Garcia,666969.0,2021,28,AL,0.0,0.0,0.0,0.0,3.8,3.8,0.0,581,622,141,82,26,2,31,194,32,31.2,5.1,0.243,0.454,0.286,0.741
837,J.P. Crawford,641487.0,2021,26,AL,0.0,0.0,0.0,0.0,3.79,3.79,0.0,619,687,169,123,37,0,9,114,58,16.6,8.4,0.273,0.376,0.338,0.714
852,Joey Wendle,621563.0,2021,31,AL,0.0,0.0,0.0,0.0,3.76,3.76,0.0,460,501,122,76,31,4,11,113,28,22.6,5.6,0.265,0.422,0.319,0.741
853,Freddy Peralta,642547.0,2021,25,NL,0.0,0.0,0.0,0.0,3.76,-0.2,3.96,43,45,4,4,0,0,0,22,1,48.9,2.2,0.093,0.093,0.111,0.204
858,Mike Zunino,572287.0,2021,30,AL,20.0,1.0,0.0,0.002380952,3.75,3.75,0.0,333,375,72,26,11,2,33,132,34,35.2,9.1,0.216,0.559,0.301,0.86
864,Yuli Gurriel,493329.0,2021,37,AL,0.0,0.0,0.0,0.0,3.73,3.73,0.0,530,605,169,123,31,0,15,68,59,11.2,9.8,0.319,0.462,0.383,0.846
865,Jean Segura,516416.0,2021,31,NL,0.0,0.0,0.0,0.0,3.73,3.73,0.0,514,567,149,105,27,3,14,78,39,13.8,6.9,0.29,0.436,0.347,0.783
869,Yasmani Grandal,518735.0,2021,33,AL,0.0,0.0,0.0,0.0,3.73,3.73,0.0,279,375,67,35,9,0,23,82,87,21.9,23.2,0.24,0.52,0.419,0.938
884,Justin Turner,457759.0,2021,37,NL,0.0,0.0,0.0,0.0,3.7,3.68,0.02,533,612,148,99,22,0,27,98,61,16.0,10.0,0.278,0.471,0.361,0.832
886,Adam Wainwright,425794.0,2021,40,NL,20.0,3.0,0.0,0.00714,3.6999999999999997,0.19,3.51,57,74,7,5,2,0,0,25,3,33.8,4.1,0.123,0.158,0.135,0.293
887,Corey Seager,608369.0,2021,27,NL,0.0,0.0,0.0,0.0,3.69,3.69,0.0,353,409,108,67,22,3,16,66,48,16.1,11.7,0.306,0.521,0.394,0.915
899,Tommy Edman,669242.0,2021,26,NL,0.0,0.0,0.0,0.0,3.66,3.66,0.0,641,691,168,113,41,3,11,95,38,13.7,5.5,0.262,0.387,0.307,0.694
901,Isiah Kiner-Falefa,643396.0,2021,26,AL,0.0,0.0,0.0,0.0,3.66,3.66,0.0,635,677,172,136,25,3,8,90,28,13.3,4.1,0.271,0.357,0.312,0.669
910,Marcus Stroman,573186.0,2021,30,NL,0.0,0.0,0.0,0.0,3.6399999999999997,0.28,3.36,51,58,5,3,2,0,0,24,4,41.4,6.9,0.098,0.137,0.155,0.292
917,Whit Merrifield,593160.0,2021,32,AL,0.0,0.0,0.0,0.0,3.62,3.62,0.0,664,720,184,129,42,3,10,103,40,14.3,5.6,0.277,0.395,0.317,0.711
929,Luis Robert,673357.0,2021,24,AL,0.0,0.0,0.0,0.0,3.59,3.59,0.0,275,296,93,57,22,1,13,61,14,20.6,4.7,0.338,0.567,0.378,0.946
945,Ronald Acuna Jr.,660670.0,2021,24,NL,0.0,0.0,0.0,0.0,3.57,3.57,0.0,297,360,84,40,19,1,24,85,49,23.6,13.6,0.283,0.596,0.394,0.99
952,Brandon Nimmo,607043.0,2021,28,NL,0.0,0.0,0.0,0.0,3.55,3.55,0.0,325,386,95,67,17,3,8,79,54,20.5,14.0,0.292,0.437,0.399,0.836
963,Matt Chapman,656305.0,2021,28,AL,0.0,0.0,0.0,0.0,3.53,3.53,0.0,529,622,111,66,15,3,27,202,80,32.5,12.9,0.21,0.403,0.314,0.716
968,Wander Franco,677551.0,2021,20,AL,0.0,0.0,0.0,0.0,3.52,3.52,0.0,281,308,81,51,18,5,7,37,24,12.0,7.8,0.288,0.463,0.347,0.81
974,Rafael Devers,646240.0,2021,25,AL,11.0,28.0,0.0,0.066666667,3.52,3.52,0.0,591,664,165,89,37,1,38,143,62,21.5,9.3,0.279,0.538,0.352,0.89
988,Joey Votto,458015.0,2021,38,NL,16.0,8.0,0.0,0.01905,3.5,3.5,0.0,448,533,119,59,23,1,36,127,77,23.8,14.4,0.266,0.563,0.375,0.938
992,J.T. Realmuto,592663.0,2021,30,NL,0.0,0.0,0.0,0.0,3.49,3.49,0.0,476,537,125,79,25,4,17,129,48,24.0,8.9,0.263,0.439,0.343,0.782
993,Willy Adames,642715.0,2021,26,NL,16.0,8.0,0.0,0.01905,3.49,3.49,0.0,497,555,130,72,32,1,25,156,57,28.1,10.3,0.262,0.481,0.337,0.818
994,Joe Musgrove,605397.0,2021,29,NL,0.0,0.0,0.0,0.0,3.4899999999999998,-0.04,3.53,51,57,7,5,2,0,0,23,1,40.4,1.8,0.137,0.176,0.14,0.317
999,Will Smith,669257.0,2021,26,NL,0.0,0.0,0.0,0.0,3.48,3.48,0.0,414,501,107,61,19,2,25,101,58,20.2,11.6,0.258,0.495,0.365,0.86
1002,Buster Posey,457763.0,2021,34,NL,21.0,1.0,0.0,0.00238,3.48,3.48,0.0,395,454,120,79,23,0,18,87,56,19.2,12.3,0.304,0.499,0.39,0.889
1026,Luis Arraez,650333.0,2021,24,AL,0.0,0.0,0.0,0.0,3.43,3.43,0.0,428,479,126,101,17,6,2,48,43,10.0,9.0,0.294,0.376,0.357,0.733
1034,Ozzie Albies,645277.0,2021,24,NL,13.0,12.0,0.0,0.02857,3.42,3.42,0.0,629,686,163,86,40,7,30,128,47,18.7,6.9,0.259,0.488,0.31,0.799
1041,Kevin Kiermaier,595281.0,2021,31,AL,0.0,0.0,0.0,0.0,3.41,3.41,0.0,348,390,90,60,19,7,4,99,33,25.4,8.5,0.259,0.388,0.328,0.716
1061,Tony Kemp,643393.0,2021,30,AL,0.0,0.0,0.0,0.0,3.38,3.38,0.0,330,397,92,65,16,3,8,51,52,12.8,13.1,0.279,0.418,0.378,0.796
1076,C.J. Cron,543068.0,2021,31,NL,0.0,0.0,0.0,0.0,3.36,3.36,0.0,470,547,132,72,31,1,28,117,60,21.4,11.0,0.281,0.53,0.375,0.905
1093,Sonny Gray,543243.0,2021,32,NL,0.0,0.0,0.0,0.0,3.33,-0.08,3.41,41,43,6,6,0,0,0,10,1,23.3,2.3,0.146,0.146,0.163,0.309
1116,Trevor Rogers,669432.0,2021,24,NL,0.0,0.0,0.0,0.0,3.28,-0.16,3.44,43,46,3,3,0,0,0,27,1,58.7,2.2,0.07,0.07,0.087,0.157
1121,German Marquez,608566.0,2021,26,NL,0.0,0.0,0.0,0.0,3.28,0.75,2.53,53,60,14,8,5,0,1,13,0,21.7,0.0,0.264,0.415,0.233,0.648
1125,Kolten Wong,543939.0,2021,31,NL,0.0,0.0,0.0,0.0,3.26,3.26,0.0,445,492,121,73,32,2,14,83,31,16.9,6.3,0.272,0.447,0.335,0.783
1129,Trent Grisham,663757.0,2021,25,NL,0.0,0.0,0.0,0.0,3.26,3.26,0.0,462,527,112,66,28,3,15,119,54,22.6,10.2,0.242,0.413,0.326,0.74
1138,Nick Castellanos,592206.0,2021,29,NL,12.0,24.0,0.0,0.05714,3.24,3.24,0.0,531,585,164,91,38,1,34,121,41,20.7,7.0,0.309,0.576,0.362,0.939
1145,Dylan Carlson,666185.0,2021,23,NL,0.0,0.0,0.0,0.0,3.22,3.22,0.0,542,619,144,91,31,4,18,152,57,24.6,9.2,0.266,0.437,0.342,0.78
1160,Edmundo Sosa,624641.0,2021,25,NL,0.0,0.0,0.0,0.0,3.19,3.19,0.0,288,326,78,60,8,4,6,63,17,19.3,5.2,0.271,0.389,0.344,0.732
1161,Josh Donaldson,518626.0,2021,36,AL,0.0,0.0,0.0,0.0,3.19,3.19,0.0,457,543,113,61,26,0,26,114,74,21.0,13.6,0.247,0.475,0.352,0.827
1189,Kyle Gibson,502043.0,2021,34,AL,0.0,0.0,0.0,0.0,3.14,-0.02,3.16,29,30,4,3,0,0,1,10,0,33.3,0.0,0.138,0.241,0.133,0.375
1196,Luis Urias,649966.0,2021,24,NL,0.0,0.0,0.0,0.0,3.13,3.13,0.0,490,570,122,73,25,1,23,116,63,20.4,11.1,0.249,0.445,0.342,0.787
1208,Josh Bell,605137.0,2021,29,NL,0.0,0.0,0.0,0.0,3.1,3.1,0.0,498,568,130,78,24,1,27,101,65,17.8,11.4,0.261,0.476,0.347,0.823
1209,Francisco Lindor,596019.0,2021,28,NL,0.0,0.0,0.0,0.0,3.1,3.1,0.0,452,524,104,65,16,3,20,96,58,18.3,11.1,0.23,0.412,0.319,0.73
1214,Austin Hays,669720.0,2021,26,AL,0.0,0.0,0.0,0.0,3.1,3.1,0.0,488,529,125,73,26,4,22,107,28,20.2,5.3,0.256,0.461,0.306,0.767
1229,Mitch Haniger,571745.0,2021,31,AL,20.0,1.0,0.0,0.002380952,3.08,3.08,0.0,620,691,157,93,23,2,39,169,54,24.5,7.8,0.253,0.485,0.318,0.804
1232,Giancarlo Stanton,519317.0,2021,32,AL,0.0,0.0,0.0,0.0,3.08,3.08,0.0,510,579,139,85,19,0,35,157,63,27.1,10.9,0.273,0.516,0.354,0.87
1253,Adam Frazier,624428.0,2021,30,NL,0.0,0.0,0.0,0.0,3.04,3.04,0.0,577,639,176,130,36,5,5,69,48,10.8,7.5,0.305,0.411,0.366,0.777
1258,Yordan Alvarez,670541.0,2021,24,AL,0.0,0.0,0.0,0.0,3.04,3.04,0.0,537,598,149,80,35,1,33,145,50,24.2,8.4,0.277,0.531,0.346,0.877
1265,Jacob Stallings,607732.0,2021,32,NL,0.0,0.0,0.0,0.0,3.03,3.03,0.0,374,427,92,63,20,1,8,85,49,19.9,11.5,0.246,0.369,0.335,0.704
1275,Jose Abreu,547989.0,2021,34,AL,14.0,5.0,0.0,0.011904762,3.01,3.01,0.0,566,659,148,86,30,2,30,143,61,21.7,9.3,0.261,0.481,0.351,0.831
1296,J.D. Martinez,502110.0,2021,34,AL,0.0,0.0,0.0,0.0,2.98,2.98,0.0,570,634,163,90,42,3,28,150,55,23.7,8.7,0.286,0.518,0.349,0.866
1333,Max Scherzer,453286.0,2021,37,NL,14.0,11.0,0.0,0.02619,2.93,-0.31,3.24,59,63,0,0,0,0,0,28,0,44.4,0.0,0.0,0.0,0.0,0.0
1357,Avisail Garcia,541645.0,2021,30,NL,0.0,0.0,0.0,0.0,2.9,2.9,0.0,461,515,121,74,18,0,29,121,38,23.5,7.4,0.262,0.49,0.33,0.82
1384,Robbie Grossman,543257.0,2021,32,AL,0.0,0.0,0.0,0.0,2.86,2.86,0.0,557,671,133,84,23,3,23,155,98,23.1,14.6,0.239,0.415,0.356,0.771
1393,Darin Ruf,573131.0,2021,35,NL,0.0,0.0,0.0,0.0,2.85,2.91,-0.06,262,312,71,40,13,2,16,87,46,27.9,14.7,0.271,0.519,0.385,0.904
1412,Jared Walsh,665120.0,2021,28,AL,0.0,0.0,0.0,0.0,2.83,2.83,0.0,530,585,147,83,34,1,29,152,48,26.0,8.2,0.277,0.509,0.34,0.85
1420,Starling Marte,516782.0,2021,33,NL,0.0,0.0,0.0,0.0,2.81,2.81,0.0,467,526,145,103,27,3,12,99,43,18.8,8.2,0.31,0.458,0.382,0.84
1447,Trevor Bauer,545333.0,2021,30,NL,0.0,0.0,0.0,0.0,2.7800000000000002,-0.26,3.04,30,34,1,1,0,0,0,11,1,32.4,2.9,0.033,0.033,0.059,0.092
1476,Manuel Margot,622534.0,2021,27,AL,0.0,0.0,0.0,0.0,2.75,2.75,0.0,421,464,107,76,18,3,10,70,37,15.1,8.0,0.254,0.382,0.313,0.695
1482,Lourdes Gurriel Jr.,666971.0,2021,28,AL,0.0,0.0,0.0,0.0,2.74,2.74,0.0,500,541,138,87,28,2,21,102,32,18.9,5.9,0.276,0.466,0.318,0.784
1489,Jesse Winker,608385.0,2021,28,NL,0.0,0.0,0.0,0.0,2.73,2.73,0.0,423,485,129,72,32,1,24,75,53,15.5,10.9,0.305,0.556,0.394,0.949
1496,Sean Murphy,669221.0,2021,27,AL,0.0,0.0,0.0,0.0,2.72,2.72,0.0,393,448,85,45,23,0,17,114,40,25.4,8.9,0.216,0.405,0.306,0.71
1533,Javier Baez,595879.0,2021,29,NL,0.0,0.0,0.0,0.0,2.66,2.66,0.0,502,547,133,82,18,2,31,184,28,33.6,5.1,0.265,0.494,0.318,0.812
1535,Ian Anderson,666120.0,2021,23,NL,0.0,0.0,0.0,0.0,2.66,-0.24,2.9,37,41,2,1,1,0,0,29,1,70.7,2.4,0.054,0.081,0.073,0.154
1542,Aaron Nola,605400.0,2021,28,NL,0.0,0.0,0.0,0.0,2.6599999999999997,0.34,2.32,49,63,7,5,2,0,0,29,6,46.0,9.5,0.143,0.184,0.206,0.39
1545,Pablo Lopez,641154.0,2021,25,NL,0.0,0.0,0.0,0.0,2.65,-0.13,2.78,33,35,2,0,2,0,0,17,0,48.6,0.0,0.061,0.121,0.057,0.178
1549,Brandon Belt,474832.0,2021,33,NL,0.0,0.0,0.0,0.0,2.65,2.65,0.0,325,381,89,44,14,2,29,103,48,27.0,12.6,0.274,0.597,0.378,0.975
1590,Miguel Rojas,500743.0,2021,32,NL,0.0,0.0,0.0,0.0,2.59,2.59,0.0,495,539,131,89,30,3,9,74,37,13.7,6.9,0.265,0.392,0.321,0.713
1595,Chris Taylor,621035.0,2021,31,NL,0.0,0.0,0.0,0.0,2.59,2.59,0.0,507,582,129,80,25,4,20,167,63,28.7,10.8,0.254,0.438,0.344,0.782
1627,Josh Harrison,543281.0,2021,34,NL,0.0,0.0,0.0,0.0,2.55,2.55,0.0,505,558,141,98,33,2,8,75,31,13.4,5.6,0.279,0.4,0.341,0.741
1629,Ramon Laureano,657656.0,2021,27,AL,0.0,0.0,0.0,0.0,2.55,2.55,0.0,341,378,84,47,21,2,14,98,27,25.9,7.1,0.246,0.443,0.317,0.76
1636,Mark Canha,592192.0,2021,32,AL,0.0,0.0,0.0,0.0,2.54,2.54,0.0,519,625,120,77,22,4,17,128,77,20.5,12.3,0.231,0.387,0.358,0.746
1649,Jazz Chisholm,665862.0,2021,23,NL,0.0,0.0,0.0,0.0,2.52,2.52,0.0,464,507,115,73,20,4,18,145,34,28.6,6.7,0.248,0.425,0.302,0.726
1666,Santiago Espinal,669289.0,2021,27,AL,0.0,0.0,0.0,0.0,2.5,2.5,0.0,222,246,69,53,13,1,2,30,22,12.2,8.9,0.311,0.405,0.374,0.779
1681,Michael A. Taylor,572191.0,2021,30,AL,0.0,0.0,0.0,0.0,2.49,2.49,0.0,483,528,118,89,16,1,12,144,33,27.3,6.3,0.244,0.356,0.295,0.652
1692,Michael Brantley,488726.0,2021,34,AL,0.0,0.0,0.0,0.0,2.48,2.48,0.0,469,508,146,106,29,3,8,53,33,10.4,6.5,0.311,0.437,0.362,0.799
1695,Mike Yastrzemski,573262.0,2021,31,NL,0.0,0.0,0.0,0.0,2.48,2.48,0.0,468,532,105,49,28,3,25,131,51,24.6,9.6,0.224,0.457,0.31,0.767
1735,Andrew Benintendi,643217.0,2021,27,AL,0.0,0.0,0.0,0.0,2.43,2.43,0.0,493,538,136,90,27,2,17,97,36,18.0,6.7,0.276,0.442,0.323,0.766
1797,George Springer,543807.0,2021,32,AL,0.0,0.0,0.0,0.0,2.36,2.36,0.0,299,342,79,37,19,1,22,79,37,23.1,10.8,0.264,0.555,0.351,0.906
1800,Nathaniel Lowe,663993.0,2021,26,AL,0.0,0.0,0.0,0.0,2.36,2.36,0.0,557,642,147,102,24,3,18,162,80,25.2,12.5,0.264,0.415,0.357,0.771
