,full_name,player_id,year,player_age,league,rank,vote_points,1st_place,mvp_share,Total_WAR,WAR_bat,WAR_pit,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg
13,Shohei Ohtani,660271.0,2021,27,AL,1.0,420.0,30.0,1.0,9.07,4.93,4.14,537,639,138,58,26,8,46,189,96,29.6,15.0,0.257,0.592,0.372,0.965
51,Zack Wheeler,554430.0,2021,31,NL,19.0,6.0,0.0,0.01429,7.72,0.13,7.59,68,73,11,9,2,0,0,39,0,53.4,0.0,0.162,0.191,0.151,0.342
83,Marcus Semien,543760.0,2021,31,AL,3.0,232.0,0.0,0.552380952,7.25,7.25,0.0,652,724,173,87,39,2,45,146,66,20.2,9.1,0.265,0.538,0.334,0.873
88,Carlos Correa,621043.0,2021,27,AL,5.0,163.0,0.0,0.388095238,7.23,7.23,0.0,555,640,155,94,34,1,26,116,75,18.1,11.7,0.279,0.485,0.366,0.85
93,Juan Soto,665742.0,2021,23,NL,2.0,274.0,6.0,0.65238,7.12,7.12,0.0,502,654,157,106,20,2,29,93,145,14.2,22.2,0.313,0.534,0.465,0.999
128,Vladimir Guerrero Jr.,665489.0,2021,22,AL,2.0,269.0,0.0,0.64047619,6.81,6.81,0.0,604,698,188,110,29,1,48,110,86,15.8,12.3,0.311,0.601,0.401,1.002
133,Jose Ramirez,608070.0,2021,29,AL,6.0,133.0,0.0,0.316666667,6.73,6.73,0.0,552,636,147,74,32,5,36,87,72,13.7,11.3,0.266,0.538,0.355,0.893
134,Walker Buehler,621111.0,2021,27,NL,0.0,0.0,0.0,0.0,6.7299999999999995,0.01,6.72,69,82,7,5,2,0,0,45,5,54.9,6.1,0.101,0.13,0.146,0.277
145,Fernando Tatis Jr.,665487.0,2021,22,NL,3.0,244.0,2.0,0.58095,6.61,6.61,0.0,478,546,135,62,31,0,42,153,62,28.0,11.4,0.282,0.611,0.364,0.975
190,Tyler O'Neill,641933.0,2021,26,NL,8.0,62.0,0.0,0.14762,6.26,6.26,0.0,482,537,138,76,26,2,34,168,38,31.3,7.1,0.286,0.56,0.352,0.912
201,Paul Goldschmidt,502671.0,2021,34,NL,6.0,128.0,0.0,0.30476,6.14,6.14,0.0,603,679,177,108,36,2,31,136,67,20.0,9.9,0.294,0.514,0.365,0.879
205,Austin Riley,663586.0,2021,24,NL,7.0,111.0,0.0,0.26429,6.09,6.09,0.0,590,662,179,112,33,1,33,168,52,25.4,7.9,0.303,0.531,0.367,0.898
